[2024-09-19 13:14:21.651] [trace] Render time: 1 ms
[2024-09-19 13:14:21.735] [trace] Render time: 1 ms
[2024-09-19 13:14:21.819] [trace] Render time: 1 ms
[2024-09-19 13:14:21.901] [trace] Render time: 1 ms
[2024-09-19 13:14:21.985] [trace] Render time: 1 ms
[2024-09-19 13:14:22.080] [trace] Render time: 1 ms
[2024-09-19 13:14:22.162] [trace] Render time: 1 ms
[2024-09-19 13:14:22.243] [trace] Render time: 1 ms
[2024-09-19 13:14:22.325] [trace] Render time: 1 ms
[2024-09-19 13:14:22.406] [trace] Render time: 1 ms
[2024-09-19 13:14:22.488] [trace] Render time: 1 ms
[2024-09-19 13:14:22.570] [trace] Render time: 1 ms
[2024-09-19 13:14:22.651] [trace] Render time: 1 ms
[2024-09-19 13:14:22.732] [trace] Render time: 1 ms
[2024-09-19 13:14:22.815] [trace] Render time: 1 ms
[2024-09-19 13:14:22.898] [trace] Render time: 1 ms
[2024-09-19 13:14:22.980] [trace] Render time: 1 ms
[2024-09-19 13:14:23.061] [trace] Render time: 1 ms
[2024-09-19 13:14:23.142] [trace] Render time: 1 ms
[2024-09-19 13:14:23.224] [trace] Render time: 1 ms
[2024-09-19 13:14:23.305] [trace] Render time: 1 ms
[2024-09-19 13:14:23.388] [trace] Render time: 1 ms
[2024-09-19 13:14:23.471] [trace] Render time: 1 ms
[2024-09-19 13:14:23.553] [trace] Render time: 1 ms
[2024-09-19 13:14:23.636] [trace] Render time: 1 ms
[2024-09-19 13:14:23.718] [trace] Render time: 1 ms
[2024-09-19 13:14:23.802] [trace] Render time: 1 ms
[2024-09-19 13:14:23.884] [trace] Render time: 1 ms
[2024-09-19 13:14:23.966] [trace] Render time: 1 ms
[2024-09-19 13:14:24.047] [trace] Render time: 1 ms
[2024-09-19 13:14:24.129] [trace] Render time: 1 ms
[2024-09-19 13:14:24.213] [trace] Render time: 1 ms
